15,1,1,0,0,550,0
0,1,1,0,0,549,0
1,1,1,0,0,549,0
2,1,1,0,0,548,0
3,1,1,0,0,548,0
4,1,1,0,0,547,0
5,1,1,0,0,547,0
6,1,1,0,0,547,0
7,1,1,0,0,547,0
8,1,1,0,0,547,0
9,1,1,0,0,546,0
10,1,1,0,0,546,0
11,1,1,0,0,546,0
12,1,1,0,0,547,0
13,1,1,0,0,547,0
14,1,1,0,0,546,0
15,1,1,0,0,547,0
0,1,1,0,0,546,0
1,1,1,0,0,545,0
2,1,1,0,0,544,0
3,1,1,0,0,543,0
4,1,1,0,0,541,0
5,1,1,0,0,540,0
6,1,1,0,0,539,0
7,1,1,0,0,538,0
8,1,1,0,0,537,0
9,1,1,0,0,536,0
10,1,1,0,0,535,0
11,1,1,0,0,535,0
12,1,1,0,0,535,0
13,1,1,0,0,536,0
14,1,1,0,0,536,0
15,1,1,0,0,536,0
0,1,1,0,0,537,0
1,1,1,0,0,537,0
2,1,1,0,0,537,0
3,1,1,0,0,536,0
4,1,1,0,0,536,0
5,1,1,0,0,536,0
6,1,1,0,0,534,0
7,1,1,0,0,533,0
8,1,1,0,0,531,0
9,1,1,0,0,531,0
10,1,1,0,0,531,0
11,1,1,0,0,531,0
12,1,1,0,0,530,0
13,1,1,0,0,529,0
14,1,1,0,0,528,0
15,1,1,0,0,528,0
0,1,1,0,0,528,0
1,1,1,0,0,528,0
2,1,1,0,0,529,0
3,1,1,0,0,529,0
4,1,1,0,0,529,0
5,1,1,0,0,529,0
6,1,1,0,0,530,0
7,1,1,0,0,530,0
8,1,1,0,0,529,0
9,1,1,0,0,529,0
10,1,1,0,0,528,0
11,1,1,0,0,528,0
12,1,1,0,0,527,0
13,1,1,0,0,525,0
14,1,1,0,0,524,0
15,1,1,0,0,524,0
0,1,1,0,0,523,0
1,1,1,0,0,522,0
2,1,1,0,0,521,0
3,1,1,0,0,520,0
4,1,1,0,0,520,0
5,1,1,0,0,520,0
6,1,1,0,0,520,0
7,1,1,0,0,521,0
8,1,1,0,0,521,0
9,1,1,0,0,522,0
10,1,1,0,0,522,0
11,1,1,0,0,523,0
12,1,1,0,0,523,0
13,1,1,0,0,522,0
14,1,1,0,0,521,0
15,1,1,0,0,521,0
0,1,1,0,0,520,0
1,1,1,0,0,519,0
2,1,1,0,0,519,0
3,1,1,0,0,518,0
4,1,1,0,0,518,0
5,1,1,0,0,518,0
6,1,1,0,0,517,0
7,1,1,0,0,518,0
8,1,1,0,0,518,0
9,1,1,0,0,519,0
10,1,1,0,0,519,0
11,1,1,0,0,519,0
12,1,1,0,0,519,0
13,1,1,0,0,519,0
14,1,1,0,0,521,0
15,1,1,0,0,522,0
0,1,1,0,0,521,0
1,1,1,0,0,521,0
2,1,1,0,0,521,0
3,1,1,0,0,521,0
4,1,1,0,0,521,0
5,1,1,0,0,521,0
6,1,1,0,0,521,0
7,1,1,0,0,519,0
8,1,1,0,0,518,0
9,1,1,0,0,517,0
10,1,1,0,0,516,0
11,1,1,0,0,516,0
12,1,1,0,0,516,0
13,1,1,0,0,517,0
14,1,1,0,0,517,0
15,1,1,0,0,518,0
0,1,1,0,0,519,0
1,1,1,0,0,519,0
2,1,1,0,0,520,0
3,1,1,0,0,521,0
4,1,1,0,0,522,0
5,1,1,0,0,522,0
6,1,1,0,0,521,0
7,1,1,0,0,521,0
8,1,1,0,0,521,0
9,1,1,0,0,520,0
10,1,1,0,0,519,0
11,1,1,0,0,519,0
12,1,1,0,0,519,0
13,1,1,0,0,518,0
14,1,1,0,0,518,0
15,1,1,0,0,518,0
0,1,1,0,0,519,0
1,1,1,0,0,519,0
2,1,1,0,0,520,0
3,1,1,0,0,520,0
4,1,1,0,0,521,0
5,1,1,0,0,521,0
6,1,1,0,0,521,0
7,1,1,0,0,522,0
8,1,1,0,0,522,0
9,1,1,0,0,522,0
10,1,1,0,0,522,0
11,1,1,0,0,521,0
12,1,1,0,0,520,0
13,1,1,0,0,519,0
14,1,1,0,0,520,0
15,1,1,0,0,519,0
0,1,1,0,0,518,0
1,1,1,0,0,517,0
2,1,1,0,0,517,0
3,1,1,0,0,517,0
4,1,1,0,0,517,0
