9,1,1,0,0,477,515
10,1,1,0,0,478,511
11,1,1,0,0,478,510
12,1,1,0,0,477,512
13,1,1,0,0,477,513
14,1,1,0,0,478,512
15,1,1,0,0,478,510
0,1,1,0,0,478,510
1,1,1,0,0,478,512
2,1,1,0,0,478,510
3,1,1,0,0,478,514
4,1,1,0,0,479,510
5,1,1,0,0,478,509
6,1,1,0,0,477,510
7,1,1,0,0,478,513
8,1,1,0,0,478,512
9,1,1,0,0,478,510
10,1,1,0,0,478,507
11,1,1,0,0,477,512
12,1,1,0,0,477,512
13,1,1,0,0,477,510
14,1,1,0,0,477,510
15,1,1,0,0,476,507
0,1,1,0,0,476,510
1,1,1,0,0,476,511
2,1,1,0,0,475,507
3,1,1,0,0,475,510
4,1,1,0,0,474,507
5,1,1,0,0,474,508
6,1,1,0,0,474,512
7,1,1,0,0,473,509
8,1,1,0,0,472,512
9,1,1,0,0,472,505
10,1,1,0,0,472,509
11,1,1,0,0,472,511
12,1,1,0,0,471,509
13,1,1,0,0,472,507
14,1,1,0,0,471,507
15,1,1,0,0,470,509
0,1,1,0,0,470,509
1,1,1,0,0,469,509
2,1,1,0,0,470,509
3,1,1,0,0,469,507
4,1,1,0,0,469,509
5,1,1,0,0,468,510
6,1,1,0,0,468,508
7,1,1,0,0,467,508
8,1,1,0,0,466,506
9,1,1,0,0,466,510
10,1,1,0,0,467,508
11,1,1,0,0,466,504
12,1,1,0,0,466,511
13,1,1,0,0,466,505
14,1,1,0,0,467,508
15,1,1,0,0,466,510
0,1,1,0,0,467,508
1,1,1,0,0,468,506
2,1,1,0,0,468,505
3,1,1,0,0,468,506
4,1,1,0,0,468,510
5,1,1,0,0,468,508
6,1,1,0,0,469,506
7,1,1,0,0,469,506
8,1,1,0,0,469,509
9,1,1,0,0,470,507
10,1,1,0,0,470,511
11,1,1,0,0,470,505
12,1,1,0,0,472,505
13,1,1,0,0,472,508
14,1,1,0,0,473,510
15,1,1,0,0,474,508
0,1,1,0,0,475,506
1,1,1,0,0,475,505
2,1,1,0,0,477,508
3,1,1,0,0,478,507
4,1,1,0,0,480,511
5,1,1,0,0,481,507
6,1,1,0,0,482,508
7,1,1,0,0,484,512
8,1,1,0,0,485,507
9,1,1,0,0,486,510
10,1,1,0,0,488,507
11,1,1,0,0,490,506
12,1,1,0,0,492,510
13,1,1,0,0,494,511
14,1,1,0,0,495,507
15,1,1,0,0,497,509
0,1,1,0,0,499,507
1,1,1,0,0,502,510
2,1,1,0,0,505,510
3,1,1,0,0,507,508
4,1,1,0,0,509,511
5,1,1,0,0,511,508
6,1,1,0,0,512,511
7,1,1,0,0,514,511
8,1,1,0,0,516,507
9,1,1,0,0,518,509
10,1,1,0,0,520,507
11,1,1,0,0,523,511
12,1,1,0,0,524,510
13,1,1,0,0,526,507
14,1,1,0,0,529,510
15,1,1,0,0,531,508
0,1,1,0,0,533,511
1,1,1,0,0,535,512
2,1,1,0,0,537,511
3,1,1,0,0,540,511
4,1,1,0,0,541,511
5,1,1,0,0,543,513
6,1,1,0,0,545,513
7,1,1,0,0,547,509
8,1,1,0,0,549,511
9,1,1,0,0,550,509
10,1,1,0,0,552,514
11,1,1,0,0,553,513
12,1,1,0,0,553,510
13,1,1,0,0,555,512
14,1,1,0,0,557,511
15,1,1,0,0,559,514
0,1,1,0,0,560,514
1,1,1,0,0,560,512
2,1,1,0,0,561,515
3,1,1,0,0,562,512
4,1,1,0,0,562,516
5,1,1,0,0,563,517
6,1,1,0,0,563,512
7,1,1,0,0,564,514
8,1,1,0,0,564,512
9,1,1,0,0,565,517
10,1,1,0,0,566,515
11,1,1,0,0,566,515
12,1,1,0,0,565,520
13,1,1,0,0,565,514
14,1,1,0,0,566,517
15,1,1,0,0,566,517
0,1,1,0,0,566,515
1,1,1,0,0,567,518
2,1,1,0,0,567,516
3,1,1,0,0,566,519
4,1,1,0,0,567,520
5,1,1,0,0,567,517
6,1,1,0,0,566,519
7,1,1,0,0,565,516
8,1,1,0,0,564,521
9,1,1,0,0,564,519
10,1,1,0,0,565,515
11,1,1,0,0,564,519
12,1,1,0,0,564,517
13,1,1,0,0,564,520
14,1,1,0,0,563,521
15,1,1,0,0,563,518
0,1,1,0,0,563,520
1,1,1,0,0,563,519
2,1,1,0,0,563,523
3,1,1,0,0,562,523
4,1,1,0,0,562,520
5,1,1,0,0,562,523
6,1,1,0,0,561,519
7,1,1,0,0,560,524
8,1,1,0,0,560,521
9,1,1,0,0,560,527
10,1,1,0,0,560,523
11,1,1,0,0,560,520
12,1,1,0,0,559,524
13,1,1,0,0,558,524
14,1,1,0,0,558,521
15,1,1,0,0,558,524
0,1,1,0,0,558,522
1,1,1,0,0,558,526
2,1,1,0,0,557,526
3,1,1,0,0,556,523
4,1,1,0,0,556,526
5,1,1,0,0,555,523
6,1,1,0,0,556,528
7,1,1,0,0,555,526
8,1,1,0,0,554,522
9,1,1,0,0,554,524
10,1,1,0,0,555,521
11,1,1,0,0,555,526
12,1,1,0,0,553,525
13,1,1,0,0,553,522
14,1,1,0,0,552,525
15,1,1,0,0,552,523
0,1,1,0,0,551,526
1,1,1,0,0,552,526
2,1,1,0,0,551,523
3,1,1,0,0,551,529
4,1,1,0,0,551,524
5,1,1,0,0,550,526
6,1,1,0,0,549,527
7,1,1,0,0,549,524
8,1,1,0,0,548,526
9,1,1,0,0,548,524
10,1,1,0,0,548,528
11,1,1,0,0,547,526
12,1,1,0,0,547,526
13,1,1,0,0,547,526
14,1,1,0,0,545,524
15,1,1,0,0,545,525
0,1,1,0,0,545,527
1,1,1,0,0,545,526
2,1,1,0,0,545,526
3,1,1,0,0,545,525
4,1,1,0,0,545,526
5,1,1,0,0,544,528
6,1,1,0,0,542,524
7,1,1,0,0,542,525
8,1,1,0,0,542,524
9,1,1,0,0,542,525
10,1,1,0,0,542,527
11,1,1,0,0,542,524
12,1,1,0,0,541,525
13,1,1,0,0,541,524
14,1,1,0,0,541,524
15,1,1,0,0,540,527
0,1,1,0,0,540,524
1,1,1,0,0,540,530
2,1,1,0,0,540,524
3,1,1,0,0,539,524
4,1,1,0,0,539,528
5,1,1,0,0,538,526
6,1,1,0,0,538,528
7,1,1,0,0,538,524
8,1,1,0,0,537,524
9,1,1,0,0,537,527
10,1,1,0,0,536,524
11,1,1,0,0,536,528
12,1,1,0,0,537,522
13,1,1,0,0,537,522
14,1,1,0,0,537,526
15,1,1,0,0,537,524
0,1,1,0,0,538,523
1,1,1,0,0,537,523
2,1,1,0,0,536,522
3,1,1,0,0,536,525
4,1,1,0,0,536,523
5,1,1,0,0,535,523
6,1,1,0,0,535,521
7,1,1,0,0,535,521
8,1,1,0,0,535,525
9,1,1,0,0,535,519
10,1,1,0,0,534,521
11,1,1,0,0,533,519
12,1,1,0,0,533,521
13,1,1,0,0,532,523
14,1,1,0,0,531,520
15,1,1,0,0,531,518
0,1,1,0,0,530,517
1,1,1,0,0,529,519
2,1,1,0,0,529,521
3,1,1,0,0,529,516
4,1,1,0,0,530,518
5,1,1,0,0,529,516
6,1,1,0,0,529,519
7,1,1,0,0,530,517
8,1,1,0,0,530,520
9,1,1,0,0,530,516
10,1,1,0,0,530,513
11,1,1,0,0,530,518
12,1,1,0,0,529,514
13,1,1,0,0,529,518
14,1,1,0,0,530,513
15,1,1,0,0,529,513
0,1,1,0,0,529,515
1,1,1,0,0,528,517
2,1,1,0,0,527,514
3,1,1,0,0,527,513
4,1,1,0,0,527,512
5,1,1,0,0,527,514
6,1,1,0,0,527,512
