7,1,1,0,0,459,512
8,1,1,0,0,460,513
9,1,1,0,0,461,513
10,1,1,0,0,463,513
11,1,1,0,0,465,511
12,1,1,0,0,467,512
13,1,1,0,0,469,513
14,1,1,0,0,471,513
15,1,1,0,0,473,515
0,1,1,0,0,476,514
1,1,1,0,0,478,515
2,1,1,0,0,480,515
3,1,1,0,0,482,516
4,1,1,0,0,485,517
5,1,1,0,0,487,517
6,1,1,0,0,491,519
7,1,1,0,0,494,518
8,1,1,0,0,497,516
9,1,1,0,0,500,517
10,1,1,0,0,504,515
11,1,1,0,0,508,519
12,1,1,0,0,511,517
13,1,1,0,0,514,518
14,1,1,0,0,518,519
15,1,1,0,0,521,517
0,1,1,0,0,526,518
1,1,1,0,0,529,520
2,1,1,0,0,533,520
3,1,1,0,0,537,521
4,1,1,0,0,540,521
5,1,1,0,0,543,522
6,1,1,0,0,547,523
7,1,1,0,0,550,522
8,1,1,0,0,553,522
9,1,1,0,0,556,521
10,1,1,0,0,560,524
11,1,1,0,0,563,524
12,1,1,0,0,566,523
13,1,1,0,0,569,524
14,1,1,0,0,572,523
15,1,1,0,0,575,524
0,1,1,0,0,577,524
1,1,1,0,0,580,525
2,1,1,0,0,583,527
3,1,1,0,0,585,526
4,1,1,0,0,588,527
5,1,1,0,0,590,527
6,1,1,0,0,592,528
7,1,1,0,0,595,528
8,1,1,0,0,596,527
9,1,1,0,0,599,529
10,1,1,0,0,601,528
11,1,1,0,0,603,527
12,1,1,0,0,605,527
13,1,1,0,0,606,530
14,1,1,0,0,608,528
15,1,1,0,0,608,529
0,1,1,0,0,609,530
1,1,1,0,0,611,527
2,1,1,0,0,612,530
3,1,1,0,0,612,530
4,1,1,0,0,614,530
5,1,1,0,0,615,532
6,1,1,0,0,615,532
7,1,1,0,0,616,530
8,1,1,0,0,617,533
9,1,1,0,0,617,532
10,1,1,0,0,617,531
11,1,1,0,0,617,531
12,1,1,0,0,617,530
13,1,1,0,0,617,531
14,1,1,0,0,617,531
15,1,1,0,0,616,531
0,1,1,0,0,616,532
1,1,1,0,0,616,531
2,1,1,0,0,616,532
3,1,1,0,0,616,531
4,1,1,0,0,615,532
5,1,1,0,0,615,531
6,1,1,0,0,614,532
7,1,1,0,0,614,535
8,1,1,0,0,613,533
9,1,1,0,0,613,531
10,1,1,0,0,613,531
11,1,1,0,0,612,530
12,1,1,0,0,611,530
13,1,1,0,0,611,530
14,1,1,0,0,610,531
15,1,1,0,0,609,530
0,1,1,0,0,608,531
1,1,1,0,0,607,530
2,1,1,0,0,606,528
3,1,1,0,0,605,532
4,1,1,0,0,604,530
5,1,1,0,0,604,531
6,1,1,0,0,603,530
7,1,1,0,0,601,528
8,1,1,0,0,600,531
9,1,1,0,0,599,529
10,1,1,0,0,598,531
11,1,1,0,0,597,530
12,1,1,0,0,596,526
13,1,1,0,0,595,530
14,1,1,0,0,594,527
15,1,1,0,0,593,529
0,1,1,0,0,592,528
1,1,1,0,0,591,526
2,1,1,0,0,590,529
3,1,1,0,0,588,527
4,1,1,0,0,587,529
5,1,1,0,0,586,527
6,1,1,0,0,584,525
7,1,1,0,0,583,528
8,1,1,0,0,582,525
9,1,1,0,0,580,528
10,1,1,0,0,579,526
11,1,1,0,0,579,525
12,1,1,0,0,577,524
13,1,1,0,0,577,523
14,1,1,0,0,575,522
15,1,1,0,0,576,523
0,1,1,0,0,575,523
1,1,1,0,0,575,523
2,1,1,0,0,574,521
3,1,1,0,0,572,521
4,1,1,0,0,571,523
5,1,1,0,0,570,521
6,1,1,0,0,569,519
7,1,1,0,0,568,522
8,1,1,0,0,567,519
9,1,1,0,0,566,519
10,1,1,0,0,565,521
11,1,1,0,0,563,520
12,1,1,0,0,563,517
13,1,1,0,0,562,516
14,1,1,0,0,560,517
15,1,1,0,0,559,517
0,1,1,0,0,559,515
1,1,1,0,0,558,516
2,1,1,0,0,556,515
3,1,1,0,0,555,513
4,1,1,0,0,554,515
5,1,1,0,0,553,512
6,1,1,0,0,551,516
7,1,1,0,0,550,511
8,1,1,0,0,548,512
9,1,1,0,0,547,512
10,1,1,0,0,547,511
11,1,1,0,0,546,509
12,1,1,0,0,544,508
13,1,1,0,0,543,509
14,1,1,0,0,541,509
15,1,1,0,0,540,508
0,1,1,0,0,539,509
1,1,1,0,0,538,508
2,1,1,0,0,536,507
3,1,1,0,0,536,507
4,1,1,0,0,535,505
5,1,1,0,0,534,509
6,1,1,0,0,533,505
7,1,1,0,0,532,504
8,1,1,0,0,531,508
9,1,1,0,0,530,502
10,1,1,0,0,529,504
11,1,1,0,0,528,503
12,1,1,0,0,528,503
13,1,1,0,0,527,503
14,1,1,0,0,525,502
15,1,1,0,0,524,502
0,1,1,0,0,523,503
1,1,1,0,0,522,502
2,1,1,0,0,522,503
3,1,1,0,0,521,503
4,1,1,0,0,520,503
5,1,1,0,0,519,501
6,1,1,0,0,519,501
7,1,1,0,0,518,499
8,1,1,0,0,517,503
9,1,1,0,0,517,499
10,1,1,0,0,516,503
11,1,1,0,0,515,502
12,1,1,0,0,514,499
13,1,1,0,0,514,499
14,1,1,0,0,513,499
15,1,1,0,0,512,499
0,1,1,0,0,511,499
1,1,1,0,0,510,500
2,1,1,0,0,509,500
3,1,1,0,0,509,498
4,1,1,0,0,508,500
5,1,1,0,0,508,499
6,1,1,0,0,508,497
7,1,1,0,0,507,501
8,1,1,0,0,507,498
9,1,1,0,0,506,499
10,1,1,0,0,504,499
11,1,1,0,0,504,498
12,1,1,0,0,504,497
13,1,1,0,0,504,497
14,1,1,0,0,503,497
15,1,1,0,0,502,498
0,1,1,0,0,502,498
1,1,1,0,0,502,497
2,1,1,0,0,501,498
3,1,1,0,0,501,499
4,1,1,0,0,500,498
5,1,1,0,0,500,498
6,1,1,0,0,499,496
7,1,1,0,0,499,499
8,1,1,0,0,498,496
9,1,1,0,0,497,497
10,1,1,0,0,496,500
11,1,1,0,0,496,499
12,1,1,0,0,496,497
13,1,1,0,0,495,497
14,1,1,0,0,495,498
15,1,1,0,0,494,498
0,1,1,0,0,494,497
1,1,1,0,0,494,498
2,1,1,0,0,494,497
3,1,1,0,0,495,497
4,1,1,0,0,494,499
5,1,1,0,0,494,497
6,1,1,0,0,495,501
7,1,1,0,0,495,496
8,1,1,0,0,495,499
9,1,1,0,0,494,499
